City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Date
499,Dauphin,51.15,-100.04,24.8,68,1,25.28,CA,clear sky,0,0,1/5/2020 20:04
500,Murmashi,68.82,32.82,15.8,78,61,8.95,RU,broken clouds,0,0,1/5/2020 20:04
501,Peleduy,59.63,112.75,13.48,93,100,13.38,RU,light snow,0,0.81,1/5/2020 20:04
502,Tiarei,-17.53,-149.33,84.2,74,20,3.36,PF,few clouds,0,0,1/5/2020 20:04
503,Imbituba,-28.24,-48.67,80.6,78,20,13.87,BR,few clouds,0,0,1/5/2020 20:02
504,Kuruman,-27.46,23.43,78.01,30,15,15.52,ZA,few clouds,0,0,1/5/2020 20:04
505,Horsham,-36.71,142.2,55.49,65,69,9.48,AU,broken clouds,0,0,1/5/2020 20:04
506,Akureyri,65.68,-18.09,37.4,64,20,19.46,IS,few clouds,0,0,1/5/2020 20:04
507,Karratha,-20.74,116.85,84.25,69,100,10.11,AU,moderate rain,3.25,0,1/5/2020 20:04
508,Klaksvik,62.23,-6.59,44.6,93,100,16.11,FO,overcast clouds,0,0,1/5/2020 20:04
509,Nemuro,43.32,145.57,26.94,66,49,25.9,JP,scattered clouds,0,0,1/5/2020 20:04
510,Broome,52.47,1.45,46.4,87,75,10.29,GB,broken clouds,0,0,1/5/2020 20:04
511,Pulandian,39.4,121.96,39.2,80,100,6.71,CN,overcast clouds,0,0,1/5/2020 20:04
512,Kununurra,-15.77,128.74,78.8,94,40,5.82,AU,scattered clouds,0,0,1/5/2020 19:59
513,Amahai,-3.31,129,84,85,100,15.12,ID,overcast clouds,0,0,1/5/2020 20:04
514,Benton,38,-88.92,54,40,1,13.87,US,clear sky,0,0,1/5/2020 20:04
