City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Umm Kaddadah,SD,2020-01-03 05:18:07,13.6,26.69,60.71,29,80,21.34
96,Hithadhoo,MV,2020-01-03 05:19:52,-0.6,73.08,83.68,69,53,7.9
97,Dingle,PH,2020-01-03 05:17:45,11.0,122.67,80.19,82,96,14.54
98,Qaqortoq,GL,2020-01-03 05:19:52,60.72,-46.03,24.8,49,100,3.36
99,Poya,NC,2020-01-03 05:19:53,-21.35,165.16,75.94,77,0,16.33
100,Novobirilyussy,RU,2020-01-03 05:19:53,56.95,90.69,28.63,86,100,13.85
101,Chiang Khong,LA,2020-01-03 05:19:53,20.27,100.41,78.8,65,20,5.82
102,Sumbe,AO,2020-01-03 05:19:53,-11.2,13.84,76.89,86,100,3.69
103,Oussouye,SN,2020-01-03 05:19:53,12.49,-16.54,64.4,31,100,4.7
104,Clarence Town,AU,2020-01-03 05:19:53,-32.59,151.78,104.0,40,0,14.99
105,Strezhevoy,RU,2020-01-03 05:19:54,60.73,77.6,3.2,91,86,4.47
106,Ormara,PK,2020-01-03 05:17:04,25.21,64.64,69.42,50,77,5.99
107,Pevek,RU,2020-01-03 05:15:59,69.7,170.27,-0.85,64,0,11.36
108,Fort Wellington,GY,2020-01-03 05:19:54,6.4,-57.6,78.85,77,43,11.72
109,Deer Lake,CA,2020-01-03 05:19:54,49.18,-57.43,30.2,86,90,8.05
110,Carmona,CR,2020-01-03 05:15:03,9.99,-85.25,66.99,55,8,1.34
111,Nisia Floresta,BR,2020-01-03 05:19:55,-6.09,-35.21,78.8,88,40,3.36
112,Vanavara,RU,2020-01-03 05:19:55,60.35,102.28,13.95,96,98,4.43
113,Hilo,US,2020-01-03 05:19:55,19.71,-155.08,73.4,78,75,10.29
114,East London,ZA,2020-01-03 05:14:47,-33.02,27.91,71.6,94,90,10.29
115,Escanaba,US,2020-01-03 05:19:55,45.75,-87.06,35.6,80,90,8.05
116,Aswan,EG,2020-01-03 05:19:56,24.09,32.9,50.0,57,0,16.11
